country_name,active_cases,death,recovered
"68,497,907",retrieving data... ,,
"60,262,770",retrieving data... ,,
"125,584,838",retrieving data... ,,
USA,"111,820,082        ","1,219,487","109,814,428"
"51,329,899",retrieving data... ,,
"215,353,593",retrieving data... ,,
"83,883,596",retrieving data... ,,
"145,805,947",retrieving data... ,,
S. Korea,"34,571,873        ","35,934","17,120,321"
Japan,"33,803,572        ","74,694",N/A
"626,161",retrieving data... ,,
Brazil,"38,743,918        ","711,380","36,249,161"
UK,"24,910,387        ","232,112","22,954,691"
Germany,"38,828,995        ","183,027","38,240,600"
Western Sahara,10        ,1,9
799,retrieving data... ,,
"1,378",retrieving data... ,,
Vatican City,29        ,0,29
"1,622",retrieving data... ,,
Tokelau,80        ,0,0
"65,584,518",retrieving data... ,,
Niue,"1,059        ",0,"1,056"
Italy,"26,723,249        ","196,487","26,361,218"
"4,965",retrieving data... ,,
"6,115",retrieving data... ,,
"3,539",retrieving data... ,,
Montserrat,"1,403        ",8,"1,376"
"12,066",retrieving data... ,,
Saint Helena,"2,166        ",0,2
"5,759",retrieving data... ,,
Tuvalu,"2,943        ",1,N/A
"10,982",retrieving data... ,,
Saint Pierre Miquelon,"3,452        ",2,"2,449"
Russia,"24,124,215        ","402,756","23,545,818"
Falkland Islands,"1,930        ",0,"1,881"
"15,230",retrieving data... ,,
"123,419",retrieving data... ,,
"10,903",retrieving data... ,,
Wallis and Futuna,"3,550        ",8,438
"9,945",retrieving data... ,,
China,"503,302        ","5,272","379,053"
Anguilla,"3,904        ",12,N/A
Kiribati,"5,085        ",24,"2,703"
"18,233",retrieving data... ,,
"53,871",retrieving data... ,,
"39,741",retrieving data... ,,
St. Barth,"5,507        ",6,N/A
"227,679",retrieving data... ,,
Turks and Caicos,"6,752        ",40,"6,697"
Saint Kitts and Nevis,"6,607        ",48,"6,559"
Palau,"6,290        ",10,"6,276"
Nauru,"5,393        ",1,"5,347"
"17,571",retrieving data... ,,
"30,596",retrieving data... ,,
"17,413,580",retrieving data... ,,
Cook Islands,"7,203        ",2,"7,150"
"5,305,117",retrieving data... ,,
Sao Tome and Principe,"6,778        ",80,"6,685"
British Virgin Islands,"7,392        ",64,N/A
Sierra Leone,"7,779        ",126,N/A
"8,306,436",retrieving data... ,,
Chad,"7,701        ",194,"4,874"
"907,419",retrieving data... ,,
"99,509",retrieving data... ,,
"2,063,367",retrieving data... ,,
Liberia,"8,090        ",295,"7,783"
Comoros,"9,109        ",161,"8,939"
"111,551",retrieving data... ,,
"26,083,660",retrieving data... ,,
Antigua and Barbuda,"9,106        ",146,"8,954"
"3,662,244",retrieving data... ,,
Niger,"9,931        ",312,"8,890"
"43,966",retrieving data... ,,
Eritrea,"10,189        ",103,"10,086"
St. Vincent Grenadines,"9,674        ",124,"9,493"
"31,154,867",retrieving data... ,,
"26,647",retrieving data... ,,
Guinea-Bissau,"9,614        ",177,"8,929"
Sint Maarten,"11,051        ",92,"10,905"
"56,973",retrieving data... ,,
"321,832",retrieving data... ,,
Caribbean Netherlands,"11,682        ",38,"10,476"
"2,558,482",retrieving data... ,,
"39,730",retrieving data... ,,
Yemen,"11,945        ","2,159","9,124"
Saint Martin,"12,324        ",63,N/A
Vanuatu,"12,019        ",14,"11,976"
Greenland,"11,971        ",21,"2,761"
"5,016,678",retrieving data... ,,
"1,016,097",retrieving data... ,,
Gambia,"12,626        ",372,"12,189"
"72,344",retrieving data... ,,
CAR,"15,440        ",113,"15,200"
"60,057",retrieving data... ,,
"107,749",retrieving data... ,,
Djibouti,"15,690        ",189,"15,427"
"202,239",retrieving data... ,,
Tonga,"16,950        ",13,"15,638"
Dominica,"16,038        ",74,"15,953"
Marshall Islands,"16,138        ",17,"16,121"
"39,783",retrieving data... ,,
Samoa,"17,006        ",31,"1,605"
"1,496,662",retrieving data... ,,
"9,957,464",retrieving data... ,,
"6,779,100",retrieving data... ,,
Equatorial Guinea,"17,229        ",183,"16,907"
Monaco,"17,181        ",67,N/A
"11,618,511",retrieving data... ,,
"61,939",retrieving data... ,,
Tajikistan,"17,786        ",125,"17,264"
Nicaragua,"18,491        ",225,"4,225"
"33,704",retrieving data... ,,
South Sudan,"18,819        ",147,"18,115"
Gibraltar,"20,550        ",113,N/A
"113,475",retrieving data... ,,
Bermuda,"18,860        ",165,"18,685"
"38,387",retrieving data... ,,
Grenada,"19,693        ",238,"19,358"
Burkina Faso,"22,114        ",400,"21,596"
"22,102,838",retrieving data... ,,
"5,797,805",retrieving data... ,,
Timor-Leste,"23,460        ",138,"23,102"
Liechtenstein,"21,574        ",94,N/A
"34,085",retrieving data... ,,
"721,159",retrieving data... ,,
Congo,"25,375        ",386,"24,006"
Solomon Islands,"25,954        ",199,N/A
"16,841,795",retrieving data... ,,
"117,489",retrieving data... ,,
Micronesia,"26,547        ",65,N/A
"667,490",retrieving data... ,,
San Marino,"26,185        ",128,"26,011"
Macao,"27,673        ",123,"3,487"
"12,784,726",retrieving data... ,,
"1,369,429",retrieving data... ,,
"185,113",retrieving data... ,,
Benin,"28,036        ",163,"27,847"
Somalia,"27,334        ","1,361","13,182"
"21,473,764",retrieving data... ,,
"67,277",retrieving data... ,,
Saint Lucia,"30,215        ",410,"29,798"
Cayman Islands,"31,472        ",37,"8,553"
"49,233",retrieving data... ,,
"2,175,699",retrieving data... ,,
"11,680,283",retrieving data... ,,
"85,732",retrieving data... ,,
Faeroe Islands,"34,658        ",28,N/A
Mali,"33,164        ",743,"32,332"
"400,516",retrieving data... ,,
Lesotho,"36,138        ",723,"25,980"
Haiti,"34,667        ",860,"33,734"
Isle of Man,"38,008        ",116,N/A
"13,865,691",retrieving data... ,,
"286,259",retrieving data... ,,
"8,680,837",retrieving data... ,,
Bahamas,"38,084        ",844,"36,366"
"1,274,727",retrieving data... ,,
Guinea,"38,572        ",468,"37,757"
"63,298,550",retrieving data... ,,
Mayotte,"42,027        ",188,N/A
Togo,"39,572        ",290,"39,281"
Mauritius,"43,025        ","1,051","41,278"
"107,609",retrieving data... ,,
Tanzania,"43,223        ",846,N/A
"165,529",retrieving data... ,,
"9,292,169",retrieving data... ,,
"77,463",retrieving data... ,,
Curaçao,"45,986        ",295,"44,720"
Aruba,"44,224        ",292,"42,438"
"99,426",retrieving data... ,,
"2,331,533",retrieving data... ,,
"12,624,840",retrieving data... ,,
Papua New Guinea,"46,864        ",670,"46,168"
Gabon,"49,051        ",307,"48,674"
"19,364,809",retrieving data... ,,
Andorra,"48,015        ",165,N/A
Seychelles,"51,220        ",172,"50,765"
"787,941",retrieving data... ,,
"4,901,981",retrieving data... ,,
"45,992,020",retrieving data... ,,
Syria,"57,743        ","3,165","54,578"
"567,678",retrieving data... ,,
Burundi,"54,721        ",38,"53,569"
"29,178,077",retrieving data... ,,
Mauritania,"63,848        ",997,"62,471"
Bhutan,"62,697        ",21,"61,564"
Sudan,"63,993        ","5,046","57,174"
"909,466",retrieving data... ,,
"412,190",retrieving data... ,,
Cabo Verde,"64,477        ",417,"63,755"
"1,184,817",retrieving data... ,,
"794,045",retrieving data... ,,
Belize,"71,409        ",688,N/A
Fiji,"69,117        ",885,"67,226"
Madagascar,"68,486        ","1,426","66,862"
"284,164",retrieving data... ,,
"596,831",retrieving data... ,,
"290,915",retrieving data... ,,
Guyana,"74,137        ","1,300","72,013"
New Caledonia,"80,064        ",314,N/A
